description,category,amount
App: EatClub office lunch,Food,247
Uber Moto ride bill,Transport,95
App: Fabindia kurta set order,Shopping,3513
UPI - Urban Ladder sofa,Shopping,25365
Milk booth daily purchase purchase,Food,277
UPI - INOX multiplex tickets purchase,Entertainment,250
Online: Vaccination clinic fees,Health,292
App: Burger King outlet meal,Food,335
Paid to Barbeque Nation dining,Food,1697
HP gas refill payment payment,Bills,721
Paid to Pizza Hut order online,Food,516
Taxi to airport order,Transport,1323
Indian Railways booking order,Transport,1772
Debit: Uber auto Bangalore order,Transport,270
Bounce scooter ride payment,Transport,263
App: Healthkart supplements order,Health,2537
App: Gaana Plus subscription order,Entertainment,90
App: Meru cab airport,Transport,937
Paid to FirstCry baby products order,Shopping,3903
App: Spencer's retail purchase,Food,503
Samsung Galaxy online,Shopping,59986
UPI - Faasos wrap delivery order,Food,354
IRCTC train ticket order,Transport,1963
UPI - Swiggy Genie delivery,Food,281
Debit: BSNL landline bill,Bills,650
Debit: Practo doctor consult order,Health,827
Online: Zomato Live event ticket,Entertainment,968
Debit: Pizza Hut order online,Food,534
BWSSB water bill purchase,Bills,372
Paid to Grocery essentials order fee,Shopping,822
Paid to Zomato Pro order,Food,783
BWSSB water bill,Bills,1122
Thyrocare blood test payment,Health,1794
Dermatologist visit purchase,Health,1871
App: SpiceJet flight,Transport,5230
App: FirstCry baby products fee,Shopping,2496
UPI - Amazon Kindle book fee,Shopping,398
Reliance Digital gadget,Shopping,11277
Online: BluSmart electric cab purchase,Transport,442
Vi postpaid bill fee,Bills,884
Boat earphones online purchase,Shopping,2437
Online: MedPlus pharmacy purchase bill,Health,1050
Manipal Hospital OPD,Health,1322
H&M India clothing payment,Shopping,1211
Debit: Intercity cab hire order,Transport,3241
BPCL fuel station,Transport,2449
App: Puma footwear online order,Shopping,4297
App: Ajio fashion order order,Shopping,3367
Debit: JioCinema premium plan,Entertainment,231
Namma Metro daily pass bill,Transport,187
UPI - Lybrate doctor consult purchase,Health,666
MakeMyTrip flight order,Transport,3920
PVR IMAX movie booking fee,Entertainment,930
More Supermarket shopping bill,Food,487
BSNL landline bill fee,Bills,652
StepSetGo premium plan,Health,375
HP petrol pump fuel order,Transport,2052
Fruit market purchase purchase,Food,207
Online: OLA Electric scooter fee,Transport,87
UPI - Bajaj Finserv EMI order,Bills,14248
UPI - Zomato Live event ticket bill,Entertainment,2349
Swiggy dinner order,Food,381
Dentist consultation,Health,393
Paid to Blinkit grocery order,Food,476
BigBasket weekly groceries,Food,1278
Paid to Nehru Planetarium ticket,Entertainment,106
UPI - Vi postpaid bill purchase,Bills,918
Paid to Nykaa beauty products payment,Shopping,1778
App: BSNL landline bill purchase,Bills,842
Paid to Dream11 contest entry purchase,Entertainment,156
UPI - DishTV DTH recharge fee,Bills,457
Paid to Dentist consultation payment,Health,1870
Online: Domino's pizza delivery order,Food,474
App: Amul milk and curd bill,Food,197
Swiggy One subscription meal purchase,Food,129
Hathway broadband bill,Bills,419
UPI - Home decor store bill,Shopping,4458
Debit: Dentist consultation,Health,1990
Indraprastha Gas bill purchase,Bills,935
UPI - Rapido bike taxi bill,Transport,124
UPI - Aquarium entry fee bill,Entertainment,314
Lalamove logistics order,Transport,1479
App: Thyrocare blood test,Health,458
Disney Hotstar subscription purchase,Entertainment,692
FreshToHome fish order purchase,Food,800
Delhi Jal Board water purchase,Bills,481
UPI - Car loan EMI payment,Bills,19303
Debit: INOX multiplex tickets purchase,Entertainment,231
Debit: Fittr coaching plan payment,Health,2217
ACT Fibernet bill,Bills,793
Laser tag arena fee,Entertainment,529
Paid to Mumbai local train pass,Transport,198
Hospital admission fees,Health,5530
App: 1mg online pharmacy purchase,Health,2326
Online: Abhibus booking fee,Transport,1168
Personal loan EMI Axis fee,Bills,8081
App: Ikea home furnishing,Shopping,8670
Paid to EatClub office lunch bill,Food,434
Stand-up event Insider,Entertainment,957
Online: Cricket box session,Entertainment,646
Debit: Nutritionist consult,Health,953
App: Parking fee city mall,Transport,184
Thyrocare blood test,Health,492
Paid to Licious meat delivery payment,Food,556
App: Lybrate doctor consult order,Health,738
Star Health insurance,Bills,7528
Zoo entry ticket,Entertainment,86
Zara India fashion,Shopping,1021
Online: OLA Electric scooter purchase,Transport,222
UPI - Indian Oil fuel fill fee,Transport,1938
Vaccination clinic fees,Health,1661
Online: MSEDCL electricity bill,Bills,3742
Jio Fiber monthly plan fee,Bills,1349
Haldiram's snacks purchase bill,Food,295
Online: Electricity bill online purchase,Bills,1338
Debit: Credit card bill payment,Bills,36475
Mahanagar Gas bill purchase,Bills,769
HP petrol pump fuel fee,Transport,1244
Tata 1mg lab test,Health,2911
Delhi Jal Board water,Bills,353
Paid to Insider.in concert ticket purchase,Entertainment,3620
Cardiologist OPD visit purchase,Health,1178
UPI - Municipal tax payment,Bills,2886
UPI - Spotify Premium India fee,Entertainment,60
UPI - Electronic accessories buy order,Shopping,2976
Debit: Lenskart eyewear order,Shopping,1021
Debit: Faasos wrap delivery fee,Food,414
Debit: Practo Plus plan,Health,503
Paid to Lollapalooza India pass fee,Entertainment,6316
Amazon Kindle book payment,Shopping,336
Cult.fit gym membership payment,Health,2523
Debit: Diabetologist consultation,Health,1204
Paid to HDFC home loan EMI fee,Bills,25335
Personal loan EMI Axis,Bills,6670
App: Flipkart sale purchase order,Shopping,5323
Barbeque Nation dining payment,Food,1556
UPI - Theobroma bakery order payment,Food,203
Online: Fortis Hospital consult,Health,1572
Debit: Tata Power monthly bill,Bills,2435
SBI home loan EMI fee,Bills,12863
ACT Fibernet bill purchase,Bills,649
Debit: Dunzo snacks delivery purchase,Food,409
Online: Auto rickshaw fare purchase,Transport,67
OnePlus store purchase purchase,Shopping,39971
Paid to Zomato biryani order purchase,Food,791
DishTV DTH recharge bill,Bills,193
Debit: Bedsheet set online order,Shopping,1832
Paid to Bedsheet set online,Shopping,1748
UPI - Eye checkup fee bill,Health,504
Debit: Dr Lal PathLabs test purchase,Health,1868
UPI - Domino's pizza delivery,Food,723
Online: PVR IMAX movie booking order,Entertainment,333
Debit: Neuberg lab test booking,Health,403
boAt speaker purchase,Shopping,2857
Paid to Lifestyle store outfit order,Shopping,4319
Fruit market purchase order,Food,286
App: Haldiram's snacks purchase order,Food,597
GoAir ticket booking,Transport,4982
App: Aquarium entry fee purchase,Entertainment,180
Online: Lalamove logistics bill,Transport,706
Paid to Ikea home furnishing,Shopping,11438
App: Cleartrip flight booking payment,Transport,4049
Debit: Hamleys toy store bill,Shopping,1692
Online: Municipal tax payment,Bills,5536
Debit: Flipkart sale purchase purchase,Shopping,11815
Debit: DishTV DTH recharge payment,Bills,495
Debit: ICICI Lombard premium,Bills,22570
UPI - ZEE5 subscription plan bill,Entertainment,594
Delhi Metro token order,Transport,84
App: GoAir ticket booking,Transport,3541
Box8 meal order order,Food,420
Bakery bread and items,Food,219
Paid to Lenskart eyewear order,Shopping,5808
App: Subway sandwich meal,Food,334
Weekly vegetable shopping purchase,Food,621
Ola cab ride bill,Transport,99
W for Woman clothing fee,Shopping,2292
Online: Vistara flight ticket payment,Transport,3208
Bakery bread and items purchase,Food,229
Debit: HDFC home loan EMI payment,Bills,39111
Debit: Internet bill monthly payment,Bills,612
Zomato Pro order order,Food,218
Debit: Woodland shoes,Shopping,4513
App: Carnival Cinemas tickets,Entertainment,489
ICICI Lombard premium,Bills,24690
Yoga class subscription fee,Health,1454
Porter bike delivery order,Transport,205
HP petrol pump fuel,Transport,2255
Debit: BSES power bill Delhi payment,Bills,1764
App: PlayStation Store India,Entertainment,773
UPI - Cult.fit gym membership,Health,1323
UPI - Cleartrip flight booking order,Transport,6070
UPI - Zomato biryani order order,Food,281
Pepperfry furniture,Shopping,19330
Online: Zyla health app plan,Health,1467
App: Apollo Hospital fee,Health,2223
Paid to Third Wave Coffee fee,Food,309
Comedy show ticket,Entertainment,818
Debit: HealthifyMe premium,Health,1629
Paid to Subway sandwich meal purchase,Food,257
Homefood tiffin service,Food,135
Practo Plus plan,Health,399
Debit: Social restaurant bill,Food,819
Stationery store supplies fee,Shopping,270
Debit: Amazon India order fee,Shopping,9268
Debit: Himalaya wellness products purchase,Health,394
App: Snapdeal purchase fee,Shopping,3908
Debit: National Museum entry,Entertainment,55
App: Dr Lal PathLabs test,Health,863
App: Station cab booking bill,Transport,544
MedPlus pharmacy purchase purchase,Health,709
UPI - Decathlon sports gear order,Shopping,5910
