description,category,amount (INR)
BigBasket grocery delivery,Food,1847
Swiggy dinner order Zomato,Food,342
Zomato lunch delivery,Food,289
Blinkit 10-min grocery delivery,Food,623
DMart weekly groceries,Food,2341
Reliance Fresh supermarket,Food,1102
Spencer's Retail Mumbai,Food,876
More Supermarket Bangalore,Food,543
McDonald's Indiranagar Bangalore,Food,487
KFC Koramangala outlet,Food,612
Burger King Phoenix Mall Mumbai,Food,534
Domino's Pizza online delivery,Food,689
Pizza Hut order,Food,745
Subway Connaught Place Delhi,Food,378
Starbucks Bandra West Mumbai,Food,620
Cafe Coffee Day outlet,Food,210
Chaayos tea & snacks,Food,185
Haldiram's snacks purchase,Food,430
Licious meat delivery,Food,895
FreshToHome fish order,Food,740
Country Delight dairy subscription,Food,1200
Eatfit healthy meal delivery,Food,315
Box8 meal delivery,Food,267
Faasos wraps order,Food,299
Behrouz Biryani delivery,Food,460
Paradise Biryani Hyderabad,Food,520
Theobroma bakery order,Food,580
Social restaurant Pune,Food,1840
Mainland China dinner,Food,2650
Naturals Ice Cream Chennai,Food,180
Third Wave Coffee Bangalore,Food,390
Amul milk online order,Food,320
Swiggy Instamart groceries,Food,712
Dunzo quick grocery run,Food,415
Ola cab ride Bangalore,Transport,187
Uber auto Koramangala,Transport,143
Rapido bike taxi,Transport,65
Namma Metro daily pass,Transport,100
BMTC bus pass recharge,Transport,500
Delhi Metro token purchase,Transport,40
Indian Railways ticket booking,Transport,1245
IRCTC train ticket Delhi-Mumbai,Transport,2145
IndiGo flight Bangalore-Delhi,Transport,4299
Air India ticket Mumbai-Kolkata,Transport,5800
SpiceJet flight booking,Transport,3750
RedBus bus ticket Hyderabad,Transport,780
Ola outstation ride,Transport,2340
Uber intercity Pune-Mumbai,Transport,1850
HP Petrol pump fuel,Transport,2500
Indian Oil fuel station,Transport,3100
BPCL fuel recharge FastTag,Transport,500
FASTag toll recharge NHAI,Transport,300
Yulu electric cycle rental,Transport,55
Bounce scooter rental,Transport,90
Zoomcar car rental weekend,Transport,3200
MakeMyTrip flight booking,Transport,6500
Cleartrip hotel transfer,Transport,4100
Meru cab airport ride,Transport,650
BluSmart electric cab,Transport,230
MSRTC bus ticket Pune,Transport,340
Parking fee Phoenix Marketcity,Transport,100
Mumbai Local train pass,Transport,245
Ola Electric scooter ride,Transport,112
Porter mini truck booking,Transport,899
Vistara flight upgrade fee,Transport,1500
GoAir ticket Goa,Transport,3200
Auto rickshaw fare Hyderabad,Transport,95
Cab share Bangalore airport,Transport,580
Amazon India order,Shopping,1299
Flipkart electronics purchase,Shopping,8999
Myntra clothing haul,Shopping,2345
Ajio fashion order,Shopping,1870
Nykaa beauty products,Shopping,1560
Meesho order,Shopping,649
Snapdeal purchase,Shopping,899
Croma laptop accessories,Shopping,4200
Reliance Digital headphones,Shopping,3499
Apple Online Store India,Shopping,79900
Samsung India online store,Shopping,12999
Decathlon sports equipment,Shopping,2150
H&M India online order,Shopping,1899
